Z [m],	Ux[m/s],	Uy[m/s],	Uz[m/s]
0,		0,			0,			0
69.5258,		0.42,		0,			0 
69.8258,	0.44, 		0,			0
71.5258,		0.50, 		0,			0
72.5258,		0.52, 		0,			0
73.5258,		0.54, 		0,			0
74.5258,		0.55, 		0,			0
75.5258,		0.57, 		0,			0
76.5258,		0.58, 		0,			0
77.5258,		0.59, 		0,			0
78.5258,		0.60, 		0,			0
79.5258,		0.606, 		0,			0
80.5258,		0.614, 		0,			0
81.5258,		0.622, 		0,			0
82.5258,		0.628, 		0,			0
83.5258,		0.635, 		0,			0
84.5258,		0.641, 		0,			0
85.5258,		0.647, 		0,			0
86.5258,		0.653, 		0,			0
87.5258,		0.658, 		0,			0
418.5258,	1.019, 		0,			0

