Z [m],	Ux[m/s],	Uy[m/s],	Uz[m/s]
0,		0,			0,			0
69.5258,		1.44,		0,			0 
69.8258,	1.50, 		0,			0
71.5258,		1.70, 		0,			0
72.5258,		1.78, 		0,			0
73.5258,		1.84, 		0,			0
74.5258,		1.89, 		0,			0
75.5258,		1.93, 		0,			0
76.5258,		1.97, 		0,			0
77.5258,		2.01, 		0,			0
78.5258,		2.04, 		0,			0
79.5258,		2.07, 		0,			0
80.5258,		2.09, 		0,			0
81.5258,		2.12, 		0,			0
82.5258,		2.14, 		0,			0
83.5258,		2.17, 		0,			0
84.5258,		2.19, 		0,			0
85.5258,		2.21, 		0,			0
86.5258,		2.23, 		0,			0
87.5258,		2.24, 		0,			0
418.5258,	3.47, 		0,			0

