Z [m],	Ux[m/s],	Uy[m/s],	Uz[m/s]
0,		0,			0,			0
69.5258,		2.307,		0,			0 
69.8258,	2.400, 		0,			0
71.5258,		2.721, 		0,			0
72.5258,		2.841, 		0,			0
73.5258,		2.937, 		0,			0
74.5258,		3.019, 		0,			0
75.5258,		3.089, 		0,			0
76.5258,		3.152, 		0,			0
77.5258,		3.208, 		0,			0
78.5258,		3.259, 		0,			0
79.5258,		3.306, 		0,			0
80.5258,		3.350, 		0,			0
81.5258,		3.390, 		0,			0
82.5258,		3.428, 		0,			0
83.5258,		3.464, 		0,			0
84.5258,		3.497, 		0,			0
85.5258,		3.529, 		0,			0
86.5258,		3.560, 		0,			0
87.5258,		3.589, 		0,			0
418.5258,	5.556, 		0,			0

